Date,Sales,Quantity Ordered
2019-01-01,65681.94,343
2019-01-02,70813.2,368
2019-01-03,47046.2,330
2019-01-04,62012.21,330
2019-01-05,46524.63,355
2019-01-06,52777.49,319
2019-01-07,53676.42,343
2019-01-08,56112.47,318
2019-01-09,55153.13,357
2019-01-10,56660.92,368
2019-01-11,78414.54,363
2019-01-12,48126.41,340
2019-01-13,61284.39,368
2019-01-14,50090.48,324
2019-01-15,64869.32,358
2019-01-16,51305.0,349
2019-01-17,55152.75,327
2019-01-18,48469.74,355
2019-01-19,56964.73,364
2019-01-20,68084.88,385
2019-01-21,60948.29,346
2019-01-22,59380.92,359
2019-01-23,57572.45,325
2019-01-24,55848.86,391
2019-01-25,57721.49,338
2019-01-26,71476.18,423
2019-01-27,63683.97,343
2019-01-28,57419.48,368
2019-01-29,61692.21,358
2019-01-30,56238.61,339
2019-01-31,62383.13,308
2019-02-01,71757.33,461
2019-02-02,77893.74,499
2019-02-03,72971.05,447
2019-02-04,70260.0,452
2019-02-05,76124.54,432
2019-02-06,86290.9,452
2019-02-07,74316.68000000001,474
2019-02-08,94507.13,489
2019-02-09,87770.12,494
2019-02-10,76934.51,506
2019-02-11,75116.02,478
2019-02-12,81070.51,498
2019-02-13,92570.14,543
2019-02-14,71620.69,466
2019-02-15,75581.65,447
2019-02-16,87786.35,493
2019-02-17,84481.74,510
2019-02-18,80362.52,508
2019-02-19,75558.98,447
2019-02-20,75050.82,500
2019-02-21,80969.31,455
2019-02-22,82520.99,507
2019-02-23,65925.8,449
2019-02-24,74934.91,531
2019-02-25,71061.15,467
2019-02-26,80006.81,485
2019-02-27,90377.62,509
2019-02-28,68200.41,450
2019-03-01,90943.91,518
2019-03-02,92309.7,575
2019-03-03,85518.78,539
2019-03-04,88485.21,522
2019-03-05,100209.44,577
2019-03-06,86296.07,532
2019-03-07,95664.75,559
2019-03-08,91815.88,544
2019-03-09,94645.37,556
2019-03-10,83418.55,553
2019-03-11,88651.19,575
2019-03-12,90488.99,559
2019-03-13,88235.73,574
2019-03-14,82178.02,528
2019-03-15,84574.49,549
2019-03-16,81095.76,549
2019-03-17,81371.81,531
2019-03-18,100970.47,524
2019-03-19,85103.11,554
2019-03-20,86559.98,541
2019-03-21,85403.07,539
2019-03-22,102992.11,567
2019-03-23,89978.4,616
2019-03-24,78756.76,526
2019-03-25,101651.05,556
2019-03-26,98915.11,514
2019-03-27,95202.2,564
2019-03-28,92156.67,548
2019-03-29,97068.06,544
2019-03-30,95571.96,550
2019-03-31,90867.78,522
2019-04-01,112697.76,692
2019-04-02,104496.71,663
2019-04-03,113611.75,685
2019-04-04,116214.99,710
2019-04-05,114012.88,675
2019-04-06,109928.87,695
2019-04-07,103941.95,641
2019-04-08,94885.95,674
2019-04-09,112286.25,689
2019-04-10,120373.48,699
2019-04-11,113048.28,702
2019-04-12,109263.75,696
2019-04-13,106087.76,729
2019-04-14,105730.53,702
2019-04-15,110242.2,635
2019-04-16,120860.86,681
2019-04-17,126445.19,733
2019-04-18,129520.55,737
2019-04-19,101059.56,627
2019-04-20,96773.82,663
2019-04-21,120653.93,761
2019-04-22,91174.98,641
2019-04-23,111792.56,670
2019-04-24,136177.32,702
2019-04-25,124453.24,654
2019-04-26,115389.09,659
2019-04-27,122127.73,698
2019-04-28,107756.66,673
2019-04-29,122115.62,674
2019-04-30,117546.02,698
2019-05-01,107690.74,570
2019-05-02,97324.25,578
2019-05-03,105895.0,550
2019-05-04,104348.54,595
2019-05-05,109929.27,607
2019-05-06,96172.39,567
2019-05-07,94958.09,636
2019-05-08,107953.46,606
2019-05-09,109371.0,641
2019-05-10,106879.76,603
2019-05-11,108997.9,558
2019-05-12,105095.31,634
2019-05-13,90449.07,606
2019-05-14,103800.64,675
2019-05-15,91007.38,568
2019-05-16,97925.9,615
2019-05-17,105365.07,635
2019-05-18,98970.22,542
2019-05-19,108252.43000000001,637
2019-05-20,100939.51,644
2019-05-21,99856.81,588
2019-05-22,112042.05,652
2019-05-23,95498.61,590
2019-05-24,100628.17,586
2019-05-25,89041.19,620
2019-05-26,113490.2,585
2019-05-27,95637.76,569
2019-05-28,104614.89,632
2019-05-29,103177.54000000001,618
2019-05-30,103003.08,625
2019-05-31,84290.52,535
2019-06-01,90536.69,519
2019-06-02,86997.62,519
2019-06-03,85261.91,485
2019-06-04,86559.43000000001,523
2019-06-05,88272.75,530
2019-06-06,87353.04000000001,542
2019-06-07,77574.34,467
2019-06-08,91885.25,501
2019-06-09,99484.39,489
2019-06-10,72277.92,507
2019-06-11,93080.46,510
2019-06-12,85872.03,528
2019-06-13,82626.14,511
2019-06-14,92760.07,536
2019-06-15,91163.59,537
2019-06-16,76546.5,529
2019-06-17,81022.16,501
2019-06-18,98105.83,497
2019-06-19,94349.83,538
2019-06-20,88466.26,528
2019-06-21,85703.94,529
2019-06-22,74628.57,446
2019-06-23,89733.69,455
2019-06-24,65980.7,489
2019-06-25,94449.32,500
2019-06-26,68766.31,531
2019-06-27,71480.38,449
2019-06-28,99353.32,510
2019-06-29,93773.55,548
2019-06-30,83736.27,499
2019-07-01,89500.91,542
2019-07-02,76026.2,519
2019-07-03,93628.0,519
2019-07-04,102134.73,506
2019-07-05,72285.7,516
2019-07-06,99457.61,519
2019-07-07,70338.14,511
2019-07-08,84543.82,538
2019-07-09,83604.82,541
2019-07-10,89916.88,530
2019-07-11,80924.08,486
2019-07-12,78338.91,511
2019-07-13,98082.88,523
2019-07-14,94690.12,495
2019-07-15,90238.14,573
2019-07-16,87845.78,531
2019-07-17,78741.93,448
2019-07-18,96480.18,554
2019-07-19,73736.12,501
2019-07-20,84184.39,536
2019-07-21,104283.77,507
2019-07-22,90392.25,546
2019-07-23,75213.24,478
2019-07-24,83754.0,483
2019-07-25,74325.07,536
2019-07-26,71835.06,557
2019-07-27,80624.03,497
2019-07-28,87004.43,532
2019-07-29,77803.5,489
2019-07-30,87488.84,508
2019-07-31,90352.23,540
2019-08-01,72168.44,424
2019-08-02,69120.53,437
2019-08-03,76031.31,407
2019-08-04,70642.64,430
2019-08-05,76464.89,404
2019-08-06,83380.34,449
2019-08-07,74489.65,440
2019-08-08,64919.08,428
2019-08-09,78485.46,424
2019-08-10,95160.63,467
2019-08-11,77852.09,434
2019-08-12,66674.74,427
2019-08-13,70020.41,461
2019-08-14,83965.86,468
2019-08-15,73802.24,429
2019-08-16,66786.54,446
2019-08-17,72013.67,390
2019-08-18,59915.0,408
2019-08-19,73513.04,473
2019-08-20,74967.59,414
2019-08-21,53060.42,399
2019-08-22,81481.5,452
2019-08-23,60535.27,422
2019-08-24,66452.51,430
2019-08-25,80612.89,436
2019-08-26,73430.21,438
2019-08-27,68615.65,435
2019-08-28,75286.79,463
2019-08-29,73259.51,451
2019-08-30,65785.16,395
2019-08-31,65573.82,467
2019-09-01,67913.39,437
2019-09-02,72275.38,452
2019-09-03,62071.29,433
2019-09-04,71784.82,444
2019-09-05,67834.51,406
2019-09-06,70087.1,433
2019-09-07,70665.44,415
2019-09-08,64098.3,425
2019-09-09,79465.82,442
2019-09-10,74257.35,443
2019-09-11,77830.23,456
2019-09-12,74776.11,450
2019-09-13,78224.28,427
2019-09-14,79399.76,452
2019-09-15,73422.21,462
2019-09-16,57940.24,419
2019-09-17,62443.57,454
2019-09-18,76563.3,440
2019-09-19,64202.46,468
2019-09-20,63013.83,434
2019-09-21,62876.26,437
2019-09-22,47909.61,411
2019-09-23,70232.03,440
2019-09-24,66751.42,433
2019-09-25,78245.17,403
2019-09-26,79307.77,422
2019-09-27,66331.18000000001,472
2019-09-28,72096.63,419
2019-09-29,73285.42,457
2019-09-30,72255.25,423
2019-10-01,133545.32,739
2019-10-02,115401.66,767
2019-10-03,99928.92,703
2019-10-04,121014.29,722
2019-10-05,122682.14,766
2019-10-06,134384.92,716
2019-10-07,121833.37,751
2019-10-08,108477.64,721
2019-10-09,106094.11,680
2019-10-10,125440.59,756
2019-10-11,116730.85,682
